weight,walking,speech,weather,sweat,hunger,skin type,hair type,lips,teeth,eyes,memory,thinking,action efficiency,sleep,skin color,nails,bodytype
difficult to lose,moderate,slow,all,excessive,moderate hunger,oily,oily thick,dark up red bottom,uneven,dark,average,peacefull,quickly but inconsistently,light,dark,pale,pitta-kapha
difficult to lose,fast,fast,all,excessive with strong odor,moderate hunger,oily,dry brittle,dark up red bottom,large,red,forgets quickly,peacefull,promptly and decisively,sound,pale,soft red,pitta-kapha
lean,slow,slow,cold,mild,irregular appetite,cool,oily thick,dark up red bottom,uneven,red,forgets quickly,quick,promptly and decisively,deep,pale,soft red,pitta-kapha
difficult to lose,slow,slow,warm,excessive,irregular appetite,oily,dry brittle,dark up red bottom,perfect,bright,never forgets,quick,quickly but inconsistently,sound,redish,soft red,pitta-kapha
difficult to lose,moderate,slow,warm,excessive with strong odor,always hunger,cool,straight soft,red,large,dark,average,focused,slowly but steadily,light,redish,dull,pitta-kapha
difficult to lose,moderate,fast,warm,excessive,always hunger,cool,oily thick,dark up red bottom,perfect,red,forgets quickly,peaceful,quickly but inconsistently,sound,pale,dull,pitta-kapha
average,slow,moderate,cold,excessive with strong odor,always hunger,cool,dry brittle,dark dry,uneven,bright,never forgets,peacefull,quickly but inconsistently,light,redish,dull,pitta-kapha
lean,fast,slow,cold,mild,moderate hunger,cool,straight soft,red,large,bright,average,peacefull,promptly and decisively,sound,dark,soft red,pitta-kapha
difficult to lose,fast,fast,cold,excessive with strong odor,irregular appetite,cool,dry brittle,red,uneven,bright,average,quick,slowly but steadily,sound,redish,soft red,pitta-kapha
difficult to lose,moderate,slow,cold,excessive,irregular appetite,oily,straight soft,red,uneven,red,forgets quickly,quick,slowly but steadily,deep,pale,pale,pitta-kapha
average,moderate,slow,cold,mild,irregular appetite,dry,oily thick,dark up red bottom,perfect,red,average,quick,quickly but inconsistently,deep,pale,pale,pitta-kapha
average,slow,slow,cold,excessive,always hunger,oily,oily thick,red,perfect,bright,never forgets,quick,promptly and decisively,light,dark,soft red,pitta-kapha
average,moderate,fast,cold,excessive with strong odor,irregular appetite,cool,straight soft,dark up red bottom,perfect,bright,never forgets,quick,promptly and decisively,light,pale,dull,pitta-kapha
difficult to lose,moderate,moderate,cold,excessive,moderate hunger,cool,dry brittle,red,uneven,bright,average,focused,quickly but inconsistently,light,pale,pale,pitta-kapha
difficult to lose,slow,slow,cold,excessive with strong odor,moderate hunger,cool,straight soft,red,large,dark,forgets quickly,focused,promptly and decisively,sound,redish,soft red,pitta-kapha
average,moderate,fast,all,mild,moderate hunger,oily,dry brittle,red,perfect,dark,average,focused,slowly but steadily,light,pale,soft red,pitta-kapha
average,slow,fast,all,excessive with strong odor,irregular appetite,dry,straight soft,dark up red bottom,uneven,bright,average,peacefull,promptly and decisively,deep,redish,pale,pitta-kapha
difficult to lose,slow,fast,all,excessive,always hunger,oily,oily thick,red,uneven,dark,never forgets,quick,quickly but inconsistently,sound,redish,dull,pitta-kapha
difficult to lose,moderate,fast,cold,excessive with strong odor,moderate hunger,oily,dry brittle,dark dry,uneven,red,never forgets,quick,slowly but steadily,light,pale,soft red,pitta-kapha
average,slow,slow,all,mild,moderate hunger,oily,dry brittle,dark up red bottom,perfect,dark,average,quick,promptly and decisively,light,pale,soft red,pitta-kapha
lean,slow,slow,all,excessive,always hunger,dry,straight soft,dark dry,perfect,red,average,quick,quickly but inconsistently,deep,redish,pale,pitta-kapha
difficult to lose,slow,fast,warm,excessive with strong odor,irregular appetite,oily,oily thick,dark up red bottom,perfect,bright,average,focused,promptly and decisively,deep,redish,soft red,pitta-kapha
difficult to lose,slow,slow,all,excessive,irregular appetite,dry,straight soft,dark up red bottom,perfect,red,forgets quickly,peacefull,promptly and decisively,sound,pale,dull,pitta-kapha
difficult to lose,slow,moderate,all,excessive,always hunger,oily,straight soft,red,large,bright,forgets quickly,peacefull,promptly and decisively,deep,redish,pale,pitta-kapha
difficult to lose,moderate,slow,all,excessive,irregular appetite,dry,straight soft,red,uneven,red,never forgets,peaceful,promptly and decisively,deep,redish,dull,pitta-kapha
average,moderate,fast,warm,excessive with strong odor,always hunger,cool,straight soft,dark dry,perfect,dark,never forgets,peacefull,slowly but steadily,sound,redish,dull,pitta-kapha
lean,moderate,fast,cold,mild,moderate hunger,oily,oily thick,dark up red bottom,perfect,red,forgets quickly,peacefull,promptly and decisively,deep,pale,dull,pitta-kapha
difficult to lose,slow,moderate,all,excessive,moderate hunger,cool,straight soft,dark up red bottom,uneven,dark,never forgets,quick,promptly and decisively,deep,redish,dull,pitta-kapha
average,slow,moderate,warm,excessive,moderate hunger,oily,oily thick,dark dry,uneven,bright,never forgets,quick,promptly and decisively,sound,pale,pale,pitta-kapha
difficult to lose,moderate,slow,cold,excessive,irregular appetite,oily,oily thick,dark up red bottom,perfect,bright,forgets quickly,peacefull,promptly and decisively,deep,redish,pale,pitta-kapha
lean,slow,moderate,warm,excessive,irregular appetite,oily,straight soft,red,large,bright,never forgets,focused,quickly but inconsistently,sound,pale,pale,pitta-kapha
average,moderate,slow,warm,excessive with strong odor,moderate hunger,oily,dry brittle,red,perfect,bright,average,peacefull,promptly and decisively,deep,redish,soft red,pitta-kapha
average,fast,slow,warm,excessive,moderate hunger,cool,dry brittle,dark dry,uneven,red,never forgets,focused,quickly but inconsistently,sound,pale,pale,pitta-kapha
difficult to lose,slow,moderate,warm,mild,always hunger,cool,dry brittle,dark up red bottom,uneven,bright,forgets quickly,focused,promptly and decisively,light,pale,pale,pitta-kapha
average,slow,fast,all,excessive,always hunger,dry,dry brittle,red,large,bright,never forgets,focused,slowly but steadily,sound,dark,soft red,pitta-kapha
difficult to lose,slow,slow,cold,mild,always hunger,dry,straight soft,dark dry,perfect,red,never forgets,focused,slowly but steadily,sound,dark,dull,pitta-kapha
average,slow,slow,warm,excessive,irregular appetite,dry,oily thick,dark up red bottom,uneven,bright,never forgets,quick,promptly and decisively,deep,redish,dull,pitta-kapha
difficult to lose,slow,slow,warm,excessive,moderate hunger,cool,straight soft,dark up red bottom,uneven,dark,average,focused,quickly but inconsistently,deep,dark,dull,pitta-kapha
difficult to lose,slow,moderate,cold,excessive,moderate hunger,oily,dry brittle,dark dry,uneven,dark,never forgets,peacefull,promptly and decisively,light,dark,pale,pitta-kapha
average,moderate,moderate,all,excessive with strong odor,moderate hunger,oily,dry brittle,red,large,bright,never forgets,focused,quickly but inconsistently,deep,redish,soft red,pitta-kapha
difficult to lose,moderate,moderate,cold,excessive,irregular appetite,cool,dry brittle,red,perfect,red,never forgets,peacefull,promptly and decisively,sound,pale,pale,pitta-kapha
lean,moderate,moderate,cold,excessive,moderate hunger,dry,straight soft,red,perfect,bright,forgets quickly,quick,promptly and decisively,deep,dark,pale,pitta-kapha
average,moderate,slow,all,excessive with strong odor,always hunger,cool,straight soft,dark dry,uneven,bright,average,quick,slowly but steadily,sound,dark,pale,pitta-kapha
difficult to lose,moderate,slow,cold,excessive,moderate hunger,oily,straight soft,red,large,bright,forgets quickly,focused,slowly but steadily,light,pale,soft red,pitta-kapha
difficult to lose,moderate,fast,all,excessive,always hunger,oily,dry brittle,dark up red bottom,large,bright,forgets quickly,focused,slowly but steadily,deep,dark,pale,pitta-kapha
difficult to lose,moderate,slow,all,mild,irregular appetite,oily,straight soft,dark dry,perfect,bright,average,quick,quickly but inconsistently,deep,redish,soft red,pitta-kapha
lean,moderate,slow,cold,excessive with strong odor,moderate hunger,oily,oily thick,red,uneven,red,forgets quickly,focused,quickly but inconsistently,light,pale,dull,pitta-kapha
difficult to lose,moderate,moderate,warm,excessive with strong odor,always hunger,cool,dry brittle,dark dry,large,red,average,quick,slowly but steadily,sound,pale,pale,pitta-kapha
average,moderate,fast,cold,excessive with strong odor,irregular appetite,cool,oily thick,red,perfect,red,average,focused,quickly but inconsistently,deep,dark,dull,pitta-kapha
lean,slow,slow,warm,excessive,always hunger,oily,dry brittle,dark up red bottom,perfect,red,never forgets,quick,slowly but steadily,light,redish,pale,pitta-kapha
difficult to lose,slow,slow,cold,mild,irregular appetite,oily,straight soft,red,large,dark,forgets quickly,focused,promptly and decisively,deep,pale,soft red,pitta-kapha
average,moderate,slow,warm,mild,always hunger,cool,straight soft,red,uneven,red,never forgets,peacefull,slowly but steadily,deep,redish,pale,pitta-kapha
average,slow,fast,cold,excessive,always hunger,oily,oily thick,dark up red bottom,large,bright,never forgets,quick,slowly but steadily,sound,pale,pale,pitta-kapha
difficult to lose,fast,moderate,warm,excessive with strong odor,always hunger,oily,dry brittle,dark up red bottom,large,bright,never forgets,quick,promptly and decisively,deep,redish,pale,pitta-kapha
difficult to lose,slow,moderate,all,excessive with strong odor,always hunger,oily,oily thick,dark up red bottom,large,dark,average,quick,slowly but steadily,light,dark,soft red,pitta-kapha
average,moderate,fast,all,excessive with strong odor,irregular appetite,oily,oily thick,dark dry,perfect,red,never forgets,peacefull,promptly and decisively,deep,redish,soft red,pitta-kapha
average,slow,fast,warm,excessive with strong odor,irregular appetite,cool,straight soft,dark up red bottom,large,dark,never forgets,focused,slowly but steadily,sound,redish,pale,pitta-kapha
lean,fast,slow,all,excessive,irregular appetite,oily,straight soft,dark dry,perfect,bright,average,focused,slowly but steadily,sound,pale,dull,pitta-kapha
difficult to lose,moderate,moderate,all,excessive,always hunger,cool,dry brittle,dark dry,perfect,dark,never forgets,focused,quickly but inconsistently,light,redish,pale,pitta-kapha
difficult to lose,moderate,slow,warm,excessive with strong odor,moderate hunger,cool,dry brittle,dark dry,uneven,dark,average,focused,promptly and decisively,sound,pale,dull,pitta-kapha
difficult to lose,slow,moderate,warm,excessive with strong odor,always hunger,oily,dry brittle,red,large,bright,never forgets,focused,promptly and decisively,sound,pale,soft red,pitta-kapha
difficult to lose,slow,fast,cold,excessive,irregular appetite,oily,oily thick,red,perfect,bright,forgets quickly,focused,promptly and decisively,deep,redish,soft red,pitta-kapha
difficult to lose,slow,fast,warm,excessive,always hunger,dry,straight soft,red,uneven,bright,average,peacefull,promptly and decisively,light,dark,pale,pitta-kapha
difficult to lose,fast,slow,cold,excessive,always hunger,dry,dry brittle,dark up red bottom,large,bright,never forgets,peacefull,slowly but steadily,deep,redish,soft red,pitta-kapha
difficult to lose,slow,moderate,cold,excessive with strong odor,irregular appetite,dry,oily thick,dark up red bottom,perfect,dark,average,quick,promptly and decisively,sound,dark,pale,pitta-kapha
lean,moderate,slow,cold,mild,moderate hunger,oily,straight soft,red,perfect,bright,never forgets,focused,slowly but steadily,sound,redish,dull,pitta-kapha
average,moderate,fast,cold,mild,moderate hunger,oily,straight soft,red,perfect,red,forgets quickly,quick,quickly but inconsistently,deep,pale,pale,pitta-kapha
average,slow,moderate,all,mild,irregular appetite,oily,oily thick,dark up red bottom,perfect,bright,average,focused,promptly and decisively,deep,dark,pale,pitta-kapha
average,moderate,slow,all,excessive with strong odor,always hunger,oily,straight soft,dark up red bottom,large,bright,never forgets,focused,quickly but inconsistently,light,pale,pale,pitta-kapha
lean,moderate,slow,all,excessive,irregular appetite,oily,dry brittle,red,perfect,red,average,focused,slowly but steadily,light,dark,pale,pitta-kapha
average,fast,slow,all,excessive with strong odor,moderate hunger,dry,straight soft,dark up red bottom,uneven,red,average,quick,quickly but inconsistently,deep,pale,dull,pitta-kapha
average,fast,slow,warm,excessive with strong odor,moderate hunger,oily,straight soft,dark dry,large,dark,never forgets,focused,slowly but steadily,deep,redish,soft red,pitta-kapha
lean,moderate,fast,cold,mild,moderate hunger,cool,oily thick,dark dry,perfect,red,average,peacefull,slowly but steadily,light,redish,soft red,pitta-kapha
average,fast,moderate,cold,excessive with strong odor,always hunger,cool,oily thick,dark dry,uneven,bright,never forgets,focused,promptly and decisively,deep,pale,dull,pitta-kapha
difficult to lose,slow,slow,warm,excessive,irregular appetite,dry,straight soft,red,uneven,bright,never forgets,peacefull,quickly but inconsistently,sound,redish,soft red,pitta-kapha
difficult to lose,slow,fast,cold,excessive with strong odor,moderate hunger,oily,oily thick,dark up red bottom,uneven,dark,forgets quickly,focused,slowly but steadily,sound,redish,pale,pitta-kapha
average,fast,fast,warm,excessive,moderate hunger,cool,dry brittle,dark up red bottom,perfect,red,forgets quickly,focused,slowly but steadily,deep,redish,pale,pitta-kapha
average,slow,moderate,cold,excessive with strong odor,moderate hunger,oily,straight soft,dark dry,large,bright,forgets quickly,focused,quickly but inconsistently,light,pale,pale,pitta-kapha
difficult to lose,moderate,slow,all,excessive,moderate hunger,cool,dry brittle,red,uneven,bright,average,focused,promptly and decisively,light,redish,dull,pitta-kapha
